"date","state","recover"
2020-10-24,"PERLIS",NA
2020-10-24,"KEDAH",NA
2020-10-24,"PULAU PINANG",NA
2020-10-24,"PERAK",61
2020-10-24,"SELANGOR",NA
2020-10-24,"WP KUALA LUMPUR/PUTRAJAYA",NA
2020-10-24,"NEGERI SEMBILAN",NA
2020-10-24,"MELAKA",NA
2020-10-24,"JOHOR",61
2020-10-24,"PAHANG",NA
2020-10-24,"TERENGGANU",NA
2020-10-24,"KELANTAN",NA
2020-10-24,"SABAH",1
2020-10-24,"SARAWAK",0
2020-10-24,"WP LABUAN",NA
2020-10-25,"PERLIS",NA
2020-10-25,"KEDAH",NA
2020-10-25,"PULAU PINANG",NA
2020-10-25,"PERAK",NA
2020-10-25,"SELANGOR",NA
2020-10-25,"WP KUALA LUMPUR/PUTRAJAYA",NA
2020-10-25,"NEGERI SEMBILAN",NA
2020-10-25,"MELAKA",NA
2020-10-25,"JOHOR",30
2020-10-25,"PAHANG",NA
2020-10-25,"TERENGGANU",NA
2020-10-25,"KELANTAN",NA
2020-10-25,"SABAH",NA
2020-10-25,"SARAWAK",NA
2020-10-25,"WP LABUAN",NA
2020-10-26,"PERLIS",NA
2020-10-26,"KEDAH",NA
2020-10-26,"PULAU PINANG",NA
2020-10-26,"PERAK",NA
2020-10-26,"SELANGOR",NA
2020-10-26,"WP KUALA LUMPUR/PUTRAJAYA",NA
2020-10-26,"NEGERI SEMBILAN",NA
2020-10-26,"MELAKA",NA
2020-10-26,"JOHOR",NA
2020-10-26,"PAHANG",NA
2020-10-26,"TERENGGANU",NA
2020-10-26,"KELANTAN",NA
2020-10-26,"SABAH",30
2020-10-26,"SARAWAK",NA
2020-10-26,"WP LABUAN",NA
2020-10-27,"PERLIS",NA
2020-10-27,"KEDAH",NA
2020-10-27,"PULAU PINANG",NA
2020-10-27,"PERAK",NA
2020-10-27,"SELANGOR",NA
2020-10-27,"WP KUALA LUMPUR/PUTRAJAYA",NA
