"date","state","recover"
2020-12-02,"KELANTAN",11
2020-12-02,"SABAH",260
2020-12-02,"SARAWAK",0
2020-12-02,"WP LABUAN",8
2020-12-03,"PERLIS",0
2020-12-03,"KEDAH",17
2020-12-03,"PULAU PINANG",48
2020-12-03,"PERAK",118
2020-12-03,"SELANGOR",268
2020-12-03,"WP KUALA LUMPUR/PUTRAJAYA",6
2020-12-03,"NEGERI SEMBILAN",54
2020-12-03,"MELAKA",0
2020-12-03,"JOHOR",4
2020-12-03,"PAHANG",1
2020-12-03,"TERENGGANU",0
2020-12-03,"KELANTAN",11
2020-12-03,"SABAH",408
2020-12-03,"SARAWAK",2
2020-12-03,"WP LABUAN",11
2020-12-04,"PERLIS",0
2020-12-04,"KEDAH",23
2020-12-04,"PULAU PINANG",71
2020-12-04,"PERAK",83
2020-12-04,"SELANGOR",233
2020-12-04,"WP KUALA LUMPUR/PUTRAJAYA",15
2020-12-04,"NEGERI SEMBILAN",268
2020-12-04,"MELAKA",1
2020-12-04,"JOHOR",27
2020-12-04,"PAHANG",0
2020-12-04,"TERENGGANU",1
2020-12-04,"KELANTAN",2
2020-12-04,"SABAH",405
2020-12-04,"SARAWAK",1
2020-12-04,"WP LABUAN",14
2020-12-05,"PERLIS",0
2020-12-05,"KEDAH",28
2020-12-05,"PULAU PINANG",63
2020-12-05,"PERAK",66
2020-12-05,"SELANGOR",275
2020-12-05,"WP KUALA LUMPUR/PUTRAJAYA",210
2020-12-05,"NEGERI SEMBILAN",176
2020-12-05,"MELAKA",1
2020-12-05,"JOHOR",20
2020-12-05,"PAHANG",3
2020-12-05,"TERENGGANU",1
2020-12-05,"KELANTAN",12
2020-12-05,"SABAH",263
2020-12-05,"SARAWAK",1
2020-12-05,"WP LABUAN",25
2020-12-06,"PERLIS",1
2020-12-06,"KEDAH",26
2020-12-06,"PULAU PINANG",47
2020-12-06,"PERAK",120
2020-12-06,"SELANGOR",532
2020-12-06,"WP KUALA LUMPUR/PUTRAJAYA",23
2020-12-06,"NEGERI SEMBILAN",85
2020-12-06,"MELAKA",0
2020-12-06,"JOHOR",20
2020-12-06,"PAHANG",0
2020-12-06,"TERENGGANU",0
2020-12-06,"KELANTAN",11
2020-12-06,"SABAH",193
2020-12-06,"SARAWAK",0
2020-12-06,"WP LABUAN",11
2020-12-07,"PERLIS",0
2020-12-07,"KEDAH",15
2020-12-07,"PULAU PINANG",53
2020-12-07,"PERAK",33
2020-12-07,"SELANGOR",432
2020-12-07,"WP KUALA LUMPUR/PUTRAJAYA",12
2020-12-07,"NEGERI SEMBILAN",125
2020-12-07,"MELAKA",2
2020-12-07,"JOHOR",34
2020-12-07,"PAHANG",2
2020-12-07,"TERENGGANU",1
2020-12-07,"KELANTAN",12
2020-12-07,"SABAH",299
2020-12-07,"SARAWAK",1
2020-12-07,"WP LABUAN",12
2020-12-08,"PERLIS",0
2020-12-08,"KEDAH",48
2020-12-08,"PULAU PINANG",46
2020-12-08,"PERAK",100
2020-12-08,"SELANGOR",982
2020-12-08,"WP KUALA LUMPUR/PUTRAJAYA",177
2020-12-08,"NEGERI SEMBILAN",102
2020-12-08,"MELAKA",0
2020-12-08,"JOHOR",34
2020-12-08,"PAHANG",1
2020-12-08,"TERENGGANU",0
2020-12-08,"KELANTAN",15
2020-12-08,"SABAH",237
2020-12-08,"SARAWAK",2
2020-12-08,"WP LABUAN",6
2020-12-09,"PERLIS",0
2020-12-09,"KEDAH",42
2020-12-09,"PULAU PINANG",25
2020-12-09,"PERAK",48
2020-12-09,"SELANGOR",176
2020-12-09,"WP KUALA LUMPUR/PUTRAJAYA",93
2020-12-09,"NEGERI SEMBILAN",207
2020-12-09,"MELAKA",1
2020-12-09,"JOHOR",80
2020-12-09,"PAHANG",0
2020-12-09,"TERENGGANU",0
2020-12-09,"KELANTAN",5
2020-12-09,"SABAH",387
2020-12-09,"SARAWAK",3
2020-12-09,"WP LABUAN",1
2020-12-10,"PERLIS",0
2020-12-10,"KEDAH",37
2020-12-10,"PULAU PINANG",53
2020-12-10,"PERAK",45
2020-12-10,"SELANGOR",339
2020-12-10,"WP KUALA LUMPUR/PUTRAJAYA",35
2020-12-10,"NEGERI SEMBILAN",54
2020-12-10,"MELAKA",2
2020-12-10,"JOHOR",42
2020-12-10,"PAHANG",2
2020-12-10,"TERENGGANU",0
2020-12-10,"KELANTAN",5
2020-12-10,"SABAH",265
2020-12-10,"SARAWAK",0
2020-12-10,"WP LABUAN",233
2020-12-11,"PERLIS",0
2020-12-11,"KEDAH",36
2020-12-11,"PULAU PINANG",36
2020-12-11,"PERAK",40
2020-12-11,"SELANGOR",373
2020-12-11,"WP KUALA LUMPUR/PUTRAJAYA",46
2020-12-11,"NEGERI SEMBILAN",101
2020-12-11,"MELAKA",0
2020-12-11,"JOHOR",56
2020-12-11,"PAHANG",0
2020-12-11,"TERENGGANU",1
2020-12-11,"KELANTAN",3
2020-12-11,"SABAH",233
2020-12-11,"SARAWAK",2
2020-12-11,"WP LABUAN",10
2020-12-12,"PERLIS",0
2020-12-12,"KEDAH",18
2020-12-12,"PULAU PINANG",39
2020-12-12,"PERAK",41
2020-12-12,"SELANGOR",408
2020-12-12,"WP KUALA LUMPUR/PUTRAJAYA",20
2020-12-12,"NEGERI SEMBILAN",36
2020-12-12,"MELAKA",3
2020-12-12,"JOHOR",49
2020-12-12,"PAHANG",9
2020-12-12,"TERENGGANU",0
2020-12-12,"KELANTAN",2
2020-12-12,"SABAH",281
2020-12-12,"SARAWAK",0
2020-12-12,"WP LABUAN",5
2020-12-13,"PERLIS",0
2020-12-13,"KEDAH",24
2020-12-13,"PULAU PINANG",44
2020-12-13,"PERAK",29
2020-12-13,"SELANGOR",769
2020-12-13,"WP KUALA LUMPUR/PUTRAJAYA",86
2020-12-13,"NEGERI SEMBILAN",40
2020-12-13,"MELAKA",0
2020-12-13,"JOHOR",54
2020-12-13,"PAHANG",0
2020-12-13,"TERENGGANU",0
2020-12-13,"KELANTAN",12
2020-12-13,"SABAH",245
2020-12-13,"SARAWAK",0
2020-12-13,"WP LABUAN",6
2020-12-14,"PERLIS",0
2020-12-14,"KEDAH",19
2020-12-14,"PULAU PINANG",22
2020-12-14,"PERAK",108
2020-12-14,"SELANGOR",316
2020-12-14,"WP KUALA LUMPUR/PUTRAJAYA",15
2020-12-14,"NEGERI SEMBILAN",212
2020-12-14,"MELAKA",4
2020-12-14,"JOHOR",20
2020-12-14,"PAHANG",30
2020-12-14,"TERENGGANU",0
2020-12-14,"KELANTAN",23
2020-12-14,"SABAH",434
2020-12-14,"SARAWAK",1
2020-12-14,"WP LABUAN",0
2020-12-15,"PERLIS",NA
2020-12-15,"KEDAH",NA
2020-12-15,"PULAU PINANG",NA
2020-12-15,"PERAK",NA
2020-12-15,"SELANGOR",NA
2020-12-15,"WP KUALA LUMPUR/PUTRAJAYA",NA
2020-12-15,"NEGERI SEMBILAN",NA
2020-12-15,"MELAKA",NA
2020-12-15,"JOHOR",NA
2020-12-15,"PAHANG",NA
2020-12-15,"TERENGGANU",NA
2020-12-15,"KELANTAN",NA
2020-12-15,"SABAH",NA
2020-12-15,"SARAWAK",NA
2020-12-15,"WP LABUAN",NA
2020-12-16,"PERLIS",0
2020-12-16,"KEDAH",21
2020-12-16,"PULAU PINANG",53
2020-12-16,"PERAK",37
2020-12-16,"SELANGOR",138
2020-12-16,"WP KUALA LUMPUR/PUTRAJAYA",16
2020-12-16,"NEGERI SEMBILAN",147
2020-12-16,"MELAKA",5
2020-12-16,"JOHOR",161
2020-12-16,"PAHANG",1
2020-12-16,"TERENGGANU",3
2020-12-16,"KELANTAN",6
2020-12-16,"SABAH",459
2020-12-16,"SARAWAK",1
2020-12-16,"WP LABUAN",4
2020-12-17,"PERLIS",0
2020-12-17,"KEDAH",7
2020-12-17,"PULAU PINANG",58
2020-12-17,"PERAK",46
2020-12-17,"SELANGOR",NA
2020-12-17,"WP KUALA LUMPUR/PUTRAJAYA",NA
2020-12-17,"NEGERI SEMBILAN",58
2020-12-17,"MELAKA",0
2020-12-17,"JOHOR",102
2020-12-17,"PAHANG",10
2020-12-17,"TERENGGANU",0
2020-12-17,"KELANTAN",13
2020-12-17,"SABAH",263
2020-12-17,"SARAWAK",0
2020-12-17,"WP LABUAN",5
2020-12-18,"PERLIS",NA
2020-12-18,"KEDAH",NA
2020-12-18,"PULAU PINANG",NA
2020-12-18,"PERAK",NA
2020-12-18,"SELANGOR",NA
2020-12-18,"WP KUALA LUMPUR/PUTRAJAYA",NA
2020-12-18,"NEGERI SEMBILAN",NA
2020-12-18,"MELAKA",NA
2020-12-18,"JOHOR",NA
2020-12-18,"PAHANG",NA
2020-12-18,"TERENGGANU",NA
2020-12-18,"KELANTAN",NA
2020-12-18,"SABAH",NA
2020-12-18,"SARAWAK",NA
2020-12-18,"WP LABUAN",NA
2020-12-19,"PERLIS",NA
2020-12-19,"KEDAH",NA
2020-12-19,"PULAU PINANG",NA
2020-12-19,"PERAK",NA
2020-12-19,"SELANGOR",NA
2020-12-19,"WP KUALA LUMPUR/PUTRAJAYA",NA
2020-12-19,"NEGERI SEMBILAN",NA
2020-12-19,"MELAKA",NA
2020-12-19,"JOHOR",NA
2020-12-19,"PAHANG",NA
2020-12-19,"TERENGGANU",NA
2020-12-19,"KELANTAN",NA
2020-12-19,"SABAH",NA
2020-12-19,"SARAWAK",NA
2020-12-19,"WP LABUAN",NA
2020-12-20,"PERLIS",NA
2020-12-20,"KEDAH",NA
2020-12-20,"PULAU PINANG",NA
2020-12-20,"PERAK",NA
2020-12-20,"SELANGOR",NA
2020-12-20,"WP KUALA LUMPUR/PUTRAJAYA",NA
2020-12-20,"NEGERI SEMBILAN",NA
2020-12-20,"MELAKA",NA
2020-12-20,"JOHOR",NA
2020-12-20,"PAHANG",NA
2020-12-20,"TERENGGANU",NA
2020-12-20,"KELANTAN",NA
2020-12-20,"SABAH",NA
2020-12-20,"SARAWAK",NA
2020-12-20,"WP LABUAN",NA
2020-12-21,"PERLIS",0
2020-12-21,"KEDAH",17
2020-12-21,"PULAU PINANG",30
2020-12-21,"PERAK",53
2020-12-21,"SELANGOR",357
2020-12-21,"WP KUALA LUMPUR/PUTRAJAYA",6
2020-12-21,"NEGERI SEMBILAN",58
2020-12-21,"MELAKA",0
2020-12-21,"JOHOR",107
2020-12-21,"PAHANG",152
2020-12-21,"TERENGGANU",7
2020-12-21,"KELANTAN",1
2020-12-21,"SABAH",266
2020-12-21,"SARAWAK",1
2020-12-21,"WP LABUAN",12
2020-12-22,"PERLIS",0
2020-12-22,"KEDAH",8
2020-12-22,"PULAU PINANG",56
2020-12-22,"PERAK",51
2020-12-22,"SELANGOR",268
2020-12-22,"WP KUALA LUMPUR/PUTRAJAYA",8
2020-12-22,"NEGERI SEMBILAN",56
2020-12-22,"MELAKA",9
2020-12-22,"JOHOR",33
2020-12-22,"PAHANG",9
2020-12-22,"TERENGGANU",9
2020-12-22,"KELANTAN",1
2020-12-22,"SABAH",394
2020-12-22,"SARAWAK",4
2020-12-22,"WP LABUAN",5
2020-12-23,"PERLIS",0
2020-12-23,"KEDAH",14
2020-12-23,"PULAU PINANG",33
2020-12-23,"PERAK",92
2020-12-23,"SELANGOR",179
2020-12-23,"WP KUALA LUMPUR/PUTRAJAYA",0
2020-12-23,"NEGERI SEMBILAN",48
2020-12-23,"MELAKA",12
2020-12-23,"JOHOR",29
2020-12-23,"PAHANG",5
2020-12-23,"TERENGGANU",3
2020-12-23,"KELANTAN",0
2020-12-23,"SABAH",286
2020-12-23,"SARAWAK",0
2020-12-23,"WP LABUAN",9
2020-12-24,"PERLIS",NA
2020-12-24,"KEDAH",NA
2020-12-24,"PULAU PINANG",NA
2020-12-24,"PERAK",NA
2020-12-24,"SELANGOR",NA
2020-12-24,"WP KUALA LUMPUR/PUTRAJAYA",NA
2020-12-24,"NEGERI SEMBILAN",NA
2020-12-24,"MELAKA",NA
2020-12-24,"JOHOR",NA
2020-12-24,"PAHANG",NA
2020-12-24,"TERENGGANU",NA
2020-12-24,"KELANTAN",NA
2020-12-24,"SABAH",NA
2020-12-24,"SARAWAK",NA
2020-12-24,"WP LABUAN",NA
2020-12-25,"PERLIS",0
2020-12-25,"KEDAH",5
2020-12-25,"PULAU PINANG",48
2020-12-25,"PERAK",24
2020-12-25,"SELANGOR",922
2020-12-25,"WP KUALA LUMPUR/PUTRAJAYA",1
2020-12-25,"NEGERI SEMBILAN",53
2020-12-25,"MELAKA",0
2020-12-25,"JOHOR",123
2020-12-25,"PAHANG",5
2020-12-25,"TERENGGANU",3
2020-12-25,"KELANTAN",4
2020-12-25,"SABAH",239
2020-12-25,"SARAWAK",0
2020-12-25,"WP LABUAN",14
2020-12-26,"PERLIS",NA
2020-12-26,"KEDAH",NA
2020-12-26,"PULAU PINANG",NA
2020-12-26,"PERAK",NA
2020-12-26,"SELANGOR",NA
2020-12-26,"WP KUALA LUMPUR/PUTRAJAYA",NA
2020-12-26,"NEGERI SEMBILAN",NA
2020-12-26,"MELAKA",NA
2020-12-26,"JOHOR",NA
2020-12-26,"PAHANG",NA
2020-12-26,"TERENGGANU",NA
2020-12-26,"KELANTAN",NA
2020-12-26,"SABAH",NA
2020-12-26,"SARAWAK",NA
2020-12-26,"WP LABUAN",NA
2020-12-27,"PERLIS",0
2020-12-27,"KEDAH",6
2020-12-27,"PULAU PINANG",29
2020-12-27,"PERAK",67
2020-12-27,"SELANGOR",388
2020-12-27,"WP KUALA LUMPUR/PUTRAJAYA",36
2020-12-27,"NEGERI SEMBILAN",135
2020-12-27,"MELAKA",14
2020-12-27,"JOHOR",64
2020-12-27,"PAHANG",0
2020-12-27,"TERENGGANU",1
2020-12-27,"KELANTAN",6
2020-12-27,"SABAH",219
2020-12-27,"SARAWAK",0
2020-12-27,"WP LABUAN",32
2020-12-28,"PERLIS",0
2020-12-28,"KEDAH",9
2020-12-28,"PULAU PINANG",35
2020-12-28,"PERAK",13
2020-12-28,"SELANGOR",607
2020-12-28,"WP KUALA LUMPUR/PUTRAJAYA",110
2020-12-28,"NEGERI SEMBILAN",109
2020-12-28,"MELAKA",8
2020-12-28,"JOHOR",6
2020-12-28,"PAHANG",8
2020-12-28,"TERENGGANU",2
2020-12-28,"KELANTAN",8
2020-12-28,"SABAH",248
2020-12-28,"SARAWAK",0
2020-12-28,"WP LABUAN",18
2020-12-29,"PERLIS",1
2020-12-29,"KEDAH",7
2020-12-29,"PULAU PINANG",26
2020-12-29,"PERAK",39
2020-12-29,"SELANGOR",311
2020-12-29,"WP KUALA LUMPUR/PUTRAJAYA",16
2020-12-29,"NEGERI SEMBILAN",84
2020-12-29,"MELAKA",198
2020-12-29,"JOHOR",214
2020-12-29,"PAHANG",2
2020-12-29,"TERENGGANU",0
2020-12-29,"KELANTAN",1
2020-12-29,"SABAH",215
2020-12-29,"SARAWAK",2
2020-12-29,"WP LABUAN",7
2020-12-30,"PERLIS",NA
2020-12-30,"KEDAH",NA
2020-12-30,"PULAU PINANG",NA
2020-12-30,"PERAK",NA
2020-12-30,"SELANGOR",NA
2020-12-30,"WP KUALA LUMPUR/PUTRAJAYA",NA
2020-12-30,"NEGERI SEMBILAN",NA
2020-12-30,"MELAKA",NA
2020-12-30,"JOHOR",NA
2020-12-30,"PAHANG",NA
2020-12-30,"TERENGGANU",NA
2020-12-30,"KELANTAN",NA
2020-12-30,"SABAH",NA
2020-12-30,"SARAWAK",NA
2020-12-30,"WP LABUAN",NA
2020-12-31,"PERLIS",NA
2020-12-31,"KEDAH",NA
2020-12-31,"PULAU PINANG",NA
2020-12-31,"PERAK",NA
2020-12-31,"SELANGOR",NA
2020-12-31,"WP KUALA LUMPUR/PUTRAJAYA",NA
2020-12-31,"NEGERI SEMBILAN",NA
2020-12-31,"MELAKA",NA
2020-12-31,"JOHOR",NA
2020-12-31,"PAHANG",NA
2020-12-31,"TERENGGANU",NA
2020-12-31,"KELANTAN",NA
2020-12-31,"SABAH",NA
2020-12-31,"SARAWAK",NA
2020-12-31,"WP LABUAN",NA
2021-01-01,"PERLIS",NA
2021-01-01,"KEDAH",NA
2021-01-01,"PULAU PINANG",NA
2021-01-01,"PERAK",NA
2021-01-01,"SELANGOR",NA
2021-01-01,"WP KUALA LUMPUR/PUTRAJAYA",NA
2021-01-01,"NEGERI SEMBILAN",NA
2021-01-01,"MELAKA",NA
2021-01-01,"JOHOR",NA
2021-01-01,"PAHANG",NA
2021-01-01,"TERENGGANU",NA
2021-01-01,"KELANTAN",NA
2021-01-01,"SABAH",NA
2021-01-01,"SARAWAK",NA
2021-01-01,"WP LABUAN",NA
2021-01-02,"PERLIS",NA
2021-01-02,"KEDAH",NA
2021-01-02,"PULAU PINANG",NA
2021-01-02,"PERAK",NA
2021-01-02,"SELANGOR",NA
2021-01-02,"WP KUALA LUMPUR/PUTRAJAYA",NA
2021-01-02,"NEGERI SEMBILAN",NA
2021-01-02,"MELAKA",NA
2021-01-02,"JOHOR",NA
2021-01-02,"PAHANG",NA
2021-01-02,"TERENGGANU",NA
2021-01-02,"KELANTAN",NA
2021-01-02,"SABAH",NA
2021-01-02,"SARAWAK",NA
2021-01-02,"WP LABUAN",NA
2021-01-03,"PERLIS",NA
2021-01-03,"KEDAH",NA
2021-01-03,"PULAU PINANG",NA
2021-01-03,"PERAK",NA
2021-01-03,"SELANGOR",NA
2021-01-03,"WP KUALA LUMPUR/PUTRAJAYA",NA
2021-01-03,"NEGERI SEMBILAN",NA
2021-01-03,"MELAKA",NA
2021-01-03,"JOHOR",NA
2021-01-03,"PAHANG",NA
2021-01-03,"TERENGGANU",NA
2021-01-03,"KELANTAN",NA
2021-01-03,"SABAH",NA
2021-01-03,"SARAWAK",NA
2021-01-03,"WP LABUAN",NA
2021-01-04,"PERLIS",NA
2021-01-04,"KEDAH",NA
2021-01-04,"PULAU PINANG",NA
2021-01-04,"PERAK",NA
2021-01-04,"SELANGOR",NA
2021-01-04,"WP KUALA LUMPUR/PUTRAJAYA",NA
2021-01-04,"NEGERI SEMBILAN",NA
2021-01-04,"MELAKA",NA
2021-01-04,"JOHOR",NA
2021-01-04,"PAHANG",NA
2021-01-04,"TERENGGANU",NA
2021-01-04,"KELANTAN",NA
2021-01-04,"SABAH",NA
2021-01-04,"SARAWAK",NA
2021-01-04,"WP LABUAN",NA
2021-01-05,"PERLIS",NA
2021-01-05,"KEDAH",NA
2021-01-05,"PULAU PINANG",NA
2021-01-05,"PERAK",NA
2021-01-05,"SELANGOR",NA
2021-01-05,"WP KUALA LUMPUR/PUTRAJAYA",NA
2021-01-05,"NEGERI SEMBILAN",NA
2021-01-05,"MELAKA",NA
2021-01-05,"JOHOR",NA
2021-01-05,"PAHANG",NA
2021-01-05,"TERENGGANU",NA
2021-01-05,"KELANTAN",NA
2021-01-05,"SABAH",NA
2021-01-05,"SARAWAK",NA
2021-01-05,"WP LABUAN",NA
2021-01-06,"PERLIS",NA
2021-01-06,"KEDAH",NA
2021-01-06,"PULAU PINANG",NA
2021-01-06,"PERAK",NA
2021-01-06,"SELANGOR",NA
2021-01-06,"WP KUALA LUMPUR/PUTRAJAYA",NA
2021-01-06,"NEGERI SEMBILAN",NA
2021-01-06,"MELAKA",NA
2021-01-06,"JOHOR",NA
2021-01-06,"PAHANG",NA
2021-01-06,"TERENGGANU",NA
2021-01-06,"KELANTAN",NA
2021-01-06,"SABAH",NA
2021-01-06,"SARAWAK",NA
2021-01-06,"WP LABUAN",NA
2021-01-07,"PERLIS",NA
2021-01-07,"KEDAH",NA
2021-01-07,"PULAU PINANG",NA
2021-01-07,"PERAK",NA
2021-01-07,"SELANGOR",NA
2021-01-07,"WP KUALA LUMPUR/PUTRAJAYA",NA
2021-01-07,"NEGERI SEMBILAN",NA
2021-01-07,"MELAKA",NA
2021-01-07,"JOHOR",NA
2021-01-07,"PAHANG",NA
2021-01-07,"TERENGGANU",NA
2021-01-07,"KELANTAN",NA
2021-01-07,"SABAH",NA
2021-01-07,"SARAWAK",NA
2021-01-07,"WP LABUAN",NA
2021-01-08,"PERLIS",NA
2021-01-08,"KEDAH",NA
2021-01-08,"PULAU PINANG",NA
2021-01-08,"PERAK",NA
2021-01-08,"SELANGOR",NA
2021-01-08,"WP KUALA LUMPUR/PUTRAJAYA",NA
2021-01-08,"NEGERI SEMBILAN",NA
2021-01-08,"MELAKA",NA
2021-01-08,"JOHOR",NA
2021-01-08,"PAHANG",NA
2021-01-08,"TERENGGANU",NA
2021-01-08,"KELANTAN",NA
2021-01-08,"SABAH",NA
2021-01-08,"SARAWAK",NA
2021-01-08,"WP LABUAN",NA
2021-01-09,"PERLIS",NA
2021-01-09,"KEDAH",NA
2021-01-09,"PULAU PINANG",NA
2021-01-09,"PERAK",NA
2021-01-09,"SELANGOR",NA
2021-01-09,"WP KUALA LUMPUR/PUTRAJAYA",NA
2021-01-09,"NEGERI SEMBILAN",NA
2021-01-09,"MELAKA",NA
2021-01-09,"JOHOR",NA
2021-01-09,"PAHANG",NA
2021-01-09,"TERENGGANU",NA
2021-01-09,"KELANTAN",NA
2021-01-09,"SABAH",NA
2021-01-09,"SARAWAK",NA
2021-01-09,"WP LABUAN",NA
2021-01-10,"PERLIS",NA
2021-01-10,"KEDAH",NA
2021-01-10,"PULAU PINANG",NA
2021-01-10,"PERAK",NA
2021-01-10,"SELANGOR",NA
2021-01-10,"WP KUALA LUMPUR/PUTRAJAYA",NA
2021-01-10,"NEGERI SEMBILAN",NA
2021-01-10,"MELAKA",NA
2021-01-10,"JOHOR",NA
2021-01-10,"PAHANG",NA
2021-01-10,"TERENGGANU",NA
2021-01-10,"KELANTAN",NA
2021-01-10,"SABAH",NA
2021-01-10,"SARAWAK",NA
2021-01-10,"WP LABUAN",NA
2021-01-11,"PERLIS",NA
2021-01-11,"KEDAH",NA
2021-01-11,"PULAU PINANG",NA
2021-01-11,"PERAK",NA
2021-01-11,"SELANGOR",NA
2021-01-11,"WP KUALA LUMPUR/PUTRAJAYA",NA
2021-01-11,"NEGERI SEMBILAN",NA
2021-01-11,"MELAKA",NA
2021-01-11,"JOHOR",NA
2021-01-11,"PAHANG",NA
2021-01-11,"TERENGGANU",NA
2021-01-11,"KELANTAN",NA
2021-01-11,"SABAH",NA
2021-01-11,"SARAWAK",NA
2021-01-11,"WP LABUAN",NA
2021-01-12,"PERLIS",NA
2021-01-12,"KEDAH",NA
2021-01-12,"PULAU PINANG",NA
2021-01-12,"PERAK",NA
2021-01-12,"SELANGOR",NA
2021-01-12,"WP KUALA LUMPUR/PUTRAJAYA",NA
2021-01-12,"NEGERI SEMBILAN",NA
2021-01-12,"MELAKA",NA
2021-01-12,"JOHOR",NA
2021-01-12,"PAHANG",NA
2021-01-12,"TERENGGANU",NA
2021-01-12,"KELANTAN",NA
2021-01-12,"SABAH",NA
2021-01-12,"SARAWAK",NA
2021-01-12,"WP LABUAN",NA
2021-01-13,"PERLIS",NA
2021-01-13,"KEDAH",NA
2021-01-13,"PULAU PINANG",NA
2021-01-13,"PERAK",NA
2021-01-13,"SELANGOR",NA
2021-01-13,"WP KUALA LUMPUR/PUTRAJAYA",NA
2021-01-13,"NEGERI SEMBILAN",NA
2021-01-13,"MELAKA",NA
2021-01-13,"JOHOR",NA
2021-01-13,"PAHANG",NA
2021-01-13,"TERENGGANU",NA
2021-01-13,"KELANTAN",NA
2021-01-13,"SABAH",NA
2021-01-13,"SARAWAK",NA
2021-01-13,"WP LABUAN",NA
2021-01-14,"PERLIS",NA
2021-01-14,"KEDAH",NA
2021-01-14,"PULAU PINANG",NA
2021-01-14,"PERAK",NA
2021-01-14,"SELANGOR",NA
2021-01-14,"WP KUALA LUMPUR/PUTRAJAYA",NA
2021-01-14,"NEGERI SEMBILAN",NA
2021-01-14,"MELAKA",NA
2021-01-14,"JOHOR",NA
2021-01-14,"PAHANG",NA
2021-01-14,"TERENGGANU",NA
2021-01-14,"KELANTAN",NA
2021-01-14,"SABAH",NA
2021-01-14,"SARAWAK",NA
2021-01-14,"WP LABUAN",NA
2021-01-15,"PERLIS",NA
2021-01-15,"KEDAH",NA
2021-01-15,"PULAU PINANG",NA
2021-01-15,"PERAK",NA
2021-01-15,"SELANGOR",NA
2021-01-15,"WP KUALA LUMPUR/PUTRAJAYA",NA
2021-01-15,"NEGERI SEMBILAN",NA
2021-01-15,"MELAKA",NA
2021-01-15,"JOHOR",NA
2021-01-15,"PAHANG",NA
2021-01-15,"TERENGGANU",NA
2021-01-15,"KELANTAN",NA
2021-01-15,"SABAH",NA
2021-01-15,"SARAWAK",NA
2021-01-15,"WP LABUAN",NA
2021-01-16,"PERLIS",NA
2021-01-16,"KEDAH",NA
2021-01-16,"PULAU PINANG",NA
2021-01-16,"PERAK",NA
2021-01-16,"SELANGOR",NA
2021-01-16,"WP KUALA LUMPUR/PUTRAJAYA",NA
2021-01-16,"NEGERI SEMBILAN",NA
2021-01-16,"MELAKA",NA
2021-01-16,"JOHOR",NA
2021-01-16,"PAHANG",NA
2021-01-16,"TERENGGANU",NA
2021-01-16,"KELANTAN",NA
2021-01-16,"SABAH",NA
2021-01-16,"SARAWAK",NA
2021-01-16,"WP LABUAN",NA
2021-01-17,"PERLIS",NA
2021-01-17,"KEDAH",NA
2021-01-17,"PULAU PINANG",NA
2021-01-17,"PERAK",NA
2021-01-17,"SELANGOR",NA
2021-01-17,"WP KUALA LUMPUR/PUTRAJAYA",NA
2021-01-17,"NEGERI SEMBILAN",NA
2021-01-17,"MELAKA",NA
2021-01-17,"JOHOR",NA
2021-01-17,"PAHANG",NA
2021-01-17,"TERENGGANU",NA
2021-01-17,"KELANTAN",NA
2021-01-17,"SABAH",NA
2021-01-17,"SARAWAK",NA
2021-01-17,"WP LABUAN",NA
2021-01-18,"PERLIS",NA
2021-01-18,"KEDAH",NA
2021-01-18,"PULAU PINANG",NA
2021-01-18,"PERAK",NA
2021-01-18,"SELANGOR",NA
2021-01-18,"WP KUALA LUMPUR/PUTRAJAYA",NA
2021-01-18,"NEGERI SEMBILAN",NA
2021-01-18,"MELAKA",NA
2021-01-18,"JOHOR",NA
2021-01-18,"PAHANG",NA
2021-01-18,"TERENGGANU",NA
2021-01-18,"KELANTAN",NA
2021-01-18,"SABAH",NA
2021-01-18,"SARAWAK",NA
2021-01-18,"WP LABUAN",NA
2021-01-19,"PERLIS",NA
2021-01-19,"KEDAH",NA
2021-01-19,"PULAU PINANG",NA
2021-01-19,"PERAK",NA
2021-01-19,"SELANGOR",NA
2021-01-19,"WP KUALA LUMPUR/PUTRAJAYA",NA
2021-01-19,"NEGERI SEMBILAN",NA
2021-01-19,"MELAKA",NA
2021-01-19,"JOHOR",NA
2021-01-19,"PAHANG",NA
2021-01-19,"TERENGGANU",NA
2021-01-19,"KELANTAN",NA
2021-01-19,"SABAH",NA
2021-01-19,"SARAWAK",NA
2021-01-19,"WP LABUAN",NA
2021-01-20,"PERLIS",NA
2021-01-20,"KEDAH",NA
2021-01-20,"PULAU PINANG",NA
2021-01-20,"PERAK",NA
2021-01-20,"SELANGOR",NA
2021-01-20,"WP KUALA LUMPUR/PUTRAJAYA",NA
2021-01-20,"NEGERI SEMBILAN",NA
2021-01-20,"MELAKA",NA
2021-01-20,"JOHOR",NA
2021-01-20,"PAHANG",NA
2021-01-20,"TERENGGANU",NA
2021-01-20,"KELANTAN",NA
2021-01-20,"SABAH",NA
2021-01-20,"SARAWAK",NA
2021-01-20,"WP LABUAN",NA
